"","X.3","X.2","X.1","X","st_id","female","ethniccode","ethniccode_cat","firstgen","international","transfer","lowincomeflag","numgrade","cum_prior_gpa","gpao","crs_name","crs_section","n_section","black_afram","hispanic_latinx","indigenous_am_indian","asian","pacific_islander","crs_year","crs_semq","white","major","stem_major","lettergrade"
"1",1,1,1,1,"daca",1,6,0,0,0,1,0,2,NA,4,"BIO300",201710,693,0,0,0,0,0,2017,"5",1,"Mathematics",1,"C"
"2",2,2,2,2,"24bf",1,1,1,0,0,1,0,1.7,2.83,2.54,"BIO300",201803,727,0,1,0,0,0,2018,"2",0,"Physics",1,"C-"
"3",3,3,3,4,"6a88",1,6,0,0,0,0,0,1.3,2.66,2.67,"BIO300",201610,637,0,0,0,0,0,2016,"5",1,"Economics",1,"D+"
"4",4,4,4,5,"f233",1,6,0,1,0,1,0,2.3,3.19,3.13,"BIO300",201803,727,0,0,0,0,0,2018,"2",1,"Mathematics",1,"C+"
"5",5,5,5,6,"7ad0",1,1,1,1,0,0,0,3.3,3.34,3.37,"BIO300",201803,727,0,1,0,0,0,2018,"2",0,"Biological Sciences",1,"B+"
"6",6,6,6,8,"68b6",0,3,2,0,0,0,0,3.7,3.88,3.87,"BIO300",201910,683,0,0,0,1,0,2019,"5",0,"Political Science",0,"A-"
"7",7,7,7,11,"4c7e",1,1,1,1,0,0,1,4,3.34,3.42,"BIO300",201901,799,0,1,0,0,0,2019,"1",0,"Finance",0,"A"
"8",8,8,8,15,"e92b",1,3,2,0,0,0,0,0.7,2.86,2.84,"BIO300",201901,799,0,0,0,1,0,2019,"1",0,"Communication",0,"D-"
"9",9,9,9,22,"2b42",0,3,2,0,0,0,0,3.3,2.64,2.72,"BIO300",201703,703,0,0,0,1,0,2017,"2",0,"Communication",0,"B+"
"10",10,10,10,23,"be95",1,3,2,1,0,1,1,2.3,3.02,3.09,"BIO300",201610,637,0,0,0,1,0,2016,"5",0,"English",0,"C+"
"11",11,11,11,24,"8213",1,3,2,0,1,0,0,3,3.26,3.26,"BIO300",201810,680,0,0,0,1,0,2018,"5",0,"Chemistry",1,"B"
"12",12,12,12,25,"41b8",1,6,0,1,0,1,0,1,2.72,2.75,"BIO300",201901,799,0,0,0,0,0,2019,"1",1,"Political Science",0,"D"
